cbsnmcnm,cntyname,pha,state,county,zip,fmr0,fmr1,fmr2,fmr3,fmr4
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60163,750,850,1010,1290,1500
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60164,620,710,840,1070,1250
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60165,690,780,930,1190,1380
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60168,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60169,790,890,1060,1350,1580
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60171,650,740,880,1120,1310
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60172,790,890,1060,1350,1580
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60173,910,1040,1230,1570,1830
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60176,680,780,920,1170,1370
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60192,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60193,900,1020,1210,1540,1800
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60194,910,1030,1220,1560,1810
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60195,930,1050,1250,1590,1860
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60201,940,1060,1260,1610,1870
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60202,820,930,1100,1400,1630
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60203,1080,1230,1460,1860,2170
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60204,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60301,900,1020,1210,1540,1800
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60302,740,840,990,1260,1470
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60303,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60304,690,780,930,1190,1380
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60305,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60402,680,770,910,1160,1350
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60406,620,710,840,1070,1250
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60409,680,770,910,1160,1350
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60411,690,780,930,1190,1380
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60412,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60415,680,770,910,1160,1350
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60419,790,890,1060,1350,1580
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60422,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60425,710,800,950,1210,1410
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60426,740,840,990,1260,1470
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60428,940,1060,1260,1610,1870
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60429,930,1050,1250,1590,1860
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60430,690,780,930,1190,1380
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60438,680,770,910,1160,1350
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60439,650,740,880,1120,1310
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60443,910,1030,1220,1560,1810
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60445,670,760,900,1150,1340
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60452,710,800,950,1210,1410
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60453,710,800,950,1210,1410
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60454,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60455,650,740,880,1120,1310
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60456,480,540,640,820,950
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60457,660,750,890,1130,1320
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60458,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60459,710,810,960,1220,1430
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60461,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60462,750,850,1010,1290,1500
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60463,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60464,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60465,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60466,710,810,960,1220,1430
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60467,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60469,790,900,1070,1360,1590
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60471,770,880,1040,1330,1550
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60472,650,740,880,1120,1310
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60473,1080,1230,1460,1860,2170
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60475,630,720,850,1080,1260
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60476,620,710,840,1070,1250
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60477,740,840,1000,1270,1490
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60478,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60480,630,720,850,1080,1260
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60482,680,780,920,1170,1370
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60487,850,970,1150,1470,1710
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60499,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60501,680,770,910,1160,1350
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60513,760,870,1030,1310,1530
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60521,870,990,1170,1490,1740
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60525,710,800,950,1210,1410
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60526,770,880,1040,1330,1550
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60527,800,910,1080,1380,1610
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60534,690,780,930,1190,1380
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60546,660,750,890,1130,1320
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60558,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60601,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60602,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60603,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60604,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60605,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60606,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60607,1020,1160,1370,1750,2040
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60608,610,690,820,1050,1220
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60609,630,720,850,1080,1260
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60610,970,1100,1300,1660,1930
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60611,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60612,760,860,1020,1300,1520
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60613,850,960,1140,1450,1690
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60614,960,1090,1290,1640,1920
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60615,700,790,940,1200,1400
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60616,700,790,940,1200,1400
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60617,630,720,850,1080,1260
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60618,760,860,1020,1300,1520
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60619,640,730,860,1100,1280
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60620,680,770,910,1160,1350
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60621,670,760,900,1150,1340
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60622,850,970,1150,1470,1710
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60623,620,700,830,1060,1230
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60624,750,850,1010,1290,1500
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60625,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60626,650,740,880,1120,1310
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60628,740,840,1000,1270,1490
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60629,680,780,920,1170,1370
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60630,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60631,770,880,1040,1330,1550
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60632,640,730,860,1100,1280
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60633,660,750,890,1130,1320
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60634,710,810,960,1220,1430
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60636,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60637,700,790,940,1200,1400
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60638,670,760,900,1150,1340
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60639,710,810,960,1220,1430
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60640,650,740,880,1120,1310
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60641,680,780,920,1170,1370
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60642,840,950,1130,1440,1680
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60643,710,800,950,1210,1410
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60644,670,760,900,1150,1340
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60645,740,840,990,1260,1470
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60646,710,810,960,1220,1430
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60647,750,850,1010,1290,1500
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60649,630,720,850,1080,1260
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60651,740,840,1000,1270,1490
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60652,760,870,1030,1310,1530
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60653,580,660,780,990,1160
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60654,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60655,690,780,930,1190,1380
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60656,770,880,1040,1330,1550
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60657,900,1020,1210,1540,1800
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60659,740,840,990,1260,1470
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60660,650,730,870,1110,1290
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60661,1080,1230,1460,1860,2170
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60666,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60677,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60681,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60682,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60690,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60693,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60694,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60706,670,760,900,1150,1340
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60707,680,780,920,1170,1370
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60712,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60714,710,810,960,1220,1430
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60803,640,730,860,1100,1280
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60804,620,710,840,1070,1250
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60805,760,870,1030,1310,1530
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60827,730,830,980,1250,1460
"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA",Westchester County,Town of Mamaroneck Public Housing Agency,36,119,10501,1210,1270,1500,1950,2300
